epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
145,107.676,0.95894,0.47806,0.85155,0.9644,0.95257,0.978,0.67498,1.01604,0.46326,0.86381,0.0005744,0.0005744,0.0005744
146,108.714,1.02429,0.53362,0.84796,0.97615,0.94066,0.97372,0.66816,1.05297,0.47692,0.87388,0.0005645,0.0005645,0.0005645
147,109.376,0.99456,0.48586,0.86144,0.97284,0.94461,0.97351,0.66908,1.04811,0.48277,0.87148,0.0005546,0.0005546,0.0005546
148,110.098,1.3002,0.63526,0.84512,0.96213,0.94923,0.96754,0.6725,1.0515,0.50183,0.87102,0.0005447,0.0005447,0.0005447
149,110.775,1.07534,0.52774,0.8854,0.9701,0.94725,0.96819,0.67369,1.03718,0.50047,0.86818,0.0005348,0.0005348,0.0005348
150,111.482,1.03027,0.51989,0.87007,0.9732,0.94066,0.96912,0.67463,1.01838,0.48151,0.86613,0.0005249,0.0005249,0.0005249
151,112.178,0.94847,0.48497,0.85279,0.976,0.94286,0.96936,0.67671,1.02303,0.47056,0.87013,0.000515,0.000515,0.000515
152,112.898,1.0611,0.52655,0.84753,0.96064,0.95824,0.9693,0.67237,1.03484,0.47141,0.87067,0.0005051,0.0005051,0.0005051
153,113.594,1.06056,0.52668,0.84312,0.97727,0.94482,0.9705,0.67766,1.02683,0.46786,0.86885,0.0004952,0.0004952,0.0004952
154,114.317,0.95299,0.47014,0.83825,0.97289,0.94634,0.97811,0.68419,1.0075,0.46415,0.86702,0.0004853,0.0004853,0.0004853
155,115,1.01842,0.50966,0.84189,0.98383,0.93602,0.97761,0.67887,1.01844,0.46202,0.87048,0.0004754,0.0004754,0.0004754
156,115.702,0.96663,0.48636,0.83367,0.98381,0.935,0.97785,0.67296,1.04029,0.46352,0.87627,0.0004655,0.0004655,0.0004655
157,116.386,1.00712,0.48496,0.85018,0.96652,0.95163,0.96947,0.67547,1.03495,0.46209,0.87325,0.0004556,0.0004556,0.0004556
158,117.092,1.00142,0.49102,0.84484,0.97253,0.94725,0.97517,0.68137,1.0107,0.45587,0.86508,0.0004457,0.0004457,0.0004457
159,117.769,0.98308,0.51594,0.84442,0.97339,0.94725,0.97634,0.68227,1.01408,0.45885,0.86493,0.0004358,0.0004358,0.0004358
160,118.469,0.88123,0.49475,0.87845,0.9837,0.94066,0.96986,0.67259,1.04358,0.46456,0.86951,0.0004259,0.0004259,0.0004259
161,119.14,0.924,0.48091,0.83596,0.98163,0.93945,0.96911,0.67391,1.04363,0.46205,0.8703,0.000416,0.000416,0.000416
162,119.848,1.02091,0.56383,0.84474,0.97521,0.95112,0.97782,0.67932,1.03644,0.4632,0.87488,0.0004061,0.0004061,0.0004061
163,120.535,1.03569,0.51035,0.86161,0.97302,0.95111,0.97833,0.6812,1.02023,0.46587,0.87125,0.0003962,0.0003962,0.0003962
164,121.568,0.98019,0.48407,0.84448,0.96891,0.95888,0.97902,0.68798,0.99498,0.4721,0.86419,0.0003863,0.0003863,0.0003863
165,122.284,1.02137,0.51133,0.84701,0.9711,0.96013,0.97881,0.68621,0.99874,0.47272,0.8652,0.0003764,0.0003764,0.0003764
166,122.984,0.982,0.47849,0.8367,0.96773,0.95604,0.97587,0.67712,1.01807,0.47481,0.87209,0.0003665,0.0003665,0.0003665
167,123.664,0.96645,0.47642,0.83708,0.97541,0.95165,0.97053,0.6698,1.03286,0.47186,0.87719,0.0003566,0.0003566,0.0003566
168,124.359,1.02638,0.5118,0.84671,0.97817,0.96484,0.97212,0.67996,1.02548,0.45235,0.87327,0.0003467,0.0003467,0.0003467
